election_year,party,yhat_mean,yhat_upper_95,yhat_lower_95,yhat_upper_80,yhat_lower_80,loess_trend,loess_se,prior_est,prior_se,type,yhat_seat_mean,yhat_seat_upper_95,yhat_seat_lower_95,yhat_seat_upper_80,yhat_seat_lower_80,pr_majority,pr_largest_party
2021,afd,0.112091875940471,0.14254670996220936,0.08025970723752227,0.13199575030322946,0.0919079540962896,0.11270902326514978,0.01871369943188867,0.09995826515573193,0.025603188901967666,party,0.12166221551643908,0.15816066471420168,0.0848288248400318,0.14526463045775773,0.0980094371176104,0,NA
2021,cdu,0.23869760057016426,0.30657606372297197,0.17413198459262863,0.2816111421368829,0.19658132792569455,0.21978554980577947,0.020620015048817393,0.36733057353597437,0.03645324844237391,party,0.25819550275097286,0.32357782295938403,0.19369462329569048,0.30023904803772655,0.21640715744054237,0,0.4777
2021,fdp,0.11050037124523715,0.14185696649220997,0.07755505679755939,0.13107824196900325,0.08957497926351074,0.11364796277805099,0.018730415654525157,0.07435130639607014,0.024575388622957054,party,0.11998478587502916,0.15816559200704955,0.0816283153729205,0.14466078517292558,0.0952579891430163,0,0
2021,gru,0.15335281551293445,0.18792295362832467,0.1187390891852117,0.17556723958177534,0.13102468993842697,0.15324483687212864,0.01943537071709397,0.15749769497756422,0.026984565645191423,party,0.1660448356190071,0.20106587834401385,0.130462221896624,0.18860330838363476,0.1432445052868565,0,4.6e-4
2021,lin,0.06805529361762275,0.10580530045225316,0.031823528952865734,0.09198784675684629,0.04459627270611169,0.06172511360155242,0.017806017549184712,0.07838908591048006,0.024430984607227164,party,0.07344370540875497,0.11118763359011073,0.03559594949095384,0.09766132012014526,0.04924974402432655,0,0
2021,oth,0.07693824275478084,0.10922863040909021,0.042836698853081695,0.09804989737379619,0.055587396771953575,0.07529195921883838,0.01804755218341549,0.058233599005561985,0.023133045577765424,party,NA,NA,NA,NA,NA,NA,NA
2021,spd,0.24036380035878954,0.2732704629826103,0.20655723500123724,0.2618254787023847,0.21892533194421437,0.2549091086659637,0.021245330334440503,0.1590096476270605,0.028774069972301267,party,0.2606689548297968,0.30255093444203973,0.21904079450037064,0.28788360864760204,0.2338657033019922,0,0.52184
2021,bg,0.3920504160830987,0.4654509829095534,0.32122335808282715,0.4388010352450722,0.34572415532380374,NA,NA,NA,NA,coalition,0.42424033836998,0.4887153131867329,0.3590857011668662,0.4661103813810604,0.3821839934513952,0.01152,NA
2021,jamaica,0.5025507873283359,0.5562978010589948,0.45074418358835516,0.536458832907709,0.4688959176789662,NA,NA,NA,NA,coalition,0.5442251242450091,0.5884831691168886,0.5001246849029191,0.5726952323439871,0.5155547467472879,0.9753,NA
2021,traffic,0.5042169871169612,0.5515675651253903,0.4550059410871279,0.5350088962189016,0.4729563335278532,NA,NA,NA,NA,coalition,0.5466985763238331,0.6124886222513314,0.4813067214955745,0.5888736686208026,0.5045108518905871,0.92184,NA
2021,rrg,0.46177190948934677,0.4948869592477358,0.429966801184205,0.4827101821702326,0.44103487965683597,NA,NA,NA,NA,coalition,0.5001574958575589,0.521382206847596,0.4783314454969177,0.5139890342044839,0.48615768012857313,0.50906,NA
2021,grand,0.47906140092895383,0.5425173159516372,0.41912218404996077,0.5188442707727099,0.43978479762193934,NA,NA,NA,NA,coalition,0.5188644575807697,0.5792486884889934,0.4601947651272188,0.5572634764251663,0.4810428335572559,0.73784,NA
2021,by,0.3491979718154014,0.39165145010122737,0.3088301830310153,0.3761111056868028,0.32275174191677275,NA,NA,NA,NA,coalition,0.37818028862600206,0.4171527823973293,0.3403496426588524,0.40311797094202895,0.35349929410927794,0,NA
2021,germany,0.5895617721741909,0.6301388148047719,0.5506353663198983,0.6153764896394192,0.5642464650819872,NA,NA,NA,NA,coalition,0.6388492434557989,0.685037091458603,0.594461328741335,0.6680953826531996,0.6101163605855968,1,NA
2021,kenya,0.6324142164418882,0.6880023542704304,0.5799316373236859,0.6672705843348101,0.59786167002543,NA,NA,NA,NA,coalition,0.6849092931997768,0.7249147096298031,0.6458121077417416,0.7105627016756131,0.6595781334652099,1,NA
2021,rg,0.393716615871724,0.41824765341991077,0.36883732489529686,0.4093968881772094,0.3777031019051692,NA,NA,NA,NA,coalition,0.4267137904488039,0.4591663381121711,0.3944419165127897,0.44741513075494366,0.40586642588211425,2e-5,NA
